name,link,date
"Letter to Representatives in opposition to H.R. 427, the Regulations from the Executive in Need of Scrutiny Act",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-opposition-to-H.R.-427-the-Regulations-from-the-Executive-in-Need-of-Scrutiny-Act,"July 27, 2015"
"Letter to Senators urging them to vote against the callous and anti-immigrant ""Immigration Rule of Law Act of 2015""",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-urging-them-to-vote-against-the-callous-and-anti-immigrant-Immigration-Rule-of-Law-Act-of-2015,"February 25, 2015"
Letter to Representatives supporting the Surface Transportation Reauthorization and Reform Act,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-supporting-the-Surface-Transportation-Reauthorization-and-Reform-Act,"November 04, 2015"
Letter to Representatives urging opposition to the misnamed Retail Investor Protection Act,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-opposition-to-the-misnamed-Retail-Investor-Protection-Act,"October 22, 2015"
Letter to Representatives urging them to oppose H.R. 1994 and the Wenstrup substitute amendment,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-oppose-H.R.-1994-and-the-Wenstrup-substitute-amendment,"July 29, 2015"
"Letter to House Financial Services Committee urging them to oppose the misnamed ""Retail Investor Protection Act""",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-House-Financial-Services-Committee-urging-them-to-oppose-the-misnamed-Retail-Investor-Protection-Act,"September 30, 2015"
Letter to Representatives urging them to vote against the Trade Adjustment Assistance proposal,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-vote-against-the-Trade-Adjustment-Assistance-proposal,"June 10, 2015"
Letter to Representatives in support of the Paycheck Fairness Act of 2015 (H.R. 1619),ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-support-of-the-Paycheck-Fairness-Act-of-2015-H.R.-1619,"April 14, 2015"
Letter to Representatives urging them to support the Fixing America's Surface Transportation (FAST) Act (H.R. 22),ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-support-the-Fixing-America-s-Surface-Transportation-FAST-Act-H.R.-22,"December 03, 2015"
"Letter to Representatives urging them to vote against H.J. Res 29, a resolution of disapproval of the NLRB election rules",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-vote-against-H.J.-Res-29-a-resolution-of-disapproval-of-the-NLRB-election-rules,"March 13, 2015"
"Letter to Representatives urging them to oppose the ""Protecting Local Business Opportunity Act""",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-oppose-the-Protecting-Local-Business-Opportunity-Act,"October 27, 2015"
Letter to Senate Judiciary Committee urging the swift confirmation of Loretta Lynch,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senate-Judiciary-Committee-urging-the-swift-confirmation-of-Loretta-Lynch,"February 23, 2015"
"Letter to Representatives urging them to vote against H.R. 596, legislation that will repeal ACA",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-vote-against-H.R.-596-legislation-that-will-repeal-ACA,"February 02, 2015"
Letter to Representatives in support of the James Zadroga 9/11 Health and Compensation Reauthorization Act,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-support-of-the-James-Zadroga-9-11-Health-and-Compensation-Reauthorization-Act,"September 14, 2015"
"Letter to Senators and Representatives asking them to oppose ""fast track"" trade promotion authority",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-and-Representatives-asking-them-to-oppose-fast-track-trade-promotion-authority,"March 02, 2015"
Letter to Representatives in opposition to the “Promoting Job Creation and Reducing Small Business Burdens Act” (H.R. 37),ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-opposition-to-the-Promoting-Job-Creation-and-Reducing-Small-Business-Burdens-Act-H.R.-37,"January 13, 2015"
Letter to Representatives urging them to vote against the misnamed Save American Workers Act.,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-vote-against-the-misnamed-Save-American-Workers-Act,"January 06, 2015"
"Letter to Representatives expressing opposition to H.R. 526, the ""Furthering Asbestos Claim Transparency Act",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-expressing-opposition-to-H.R.-526-the-Furthering-Asbestos-Claim-Transparency-Act,"February 03, 2015"
Letter to Senators in support of the Paycheck Fairness Act of 2015 (S.862),ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-in-support-of-the-Paycheck-Fairness-Act-of-2015-S.862,"April 14, 2015"
